,Hbond,atom1,atom2,bond_length,crystal
607,OH,O14,H142,3.4356270433300784,Na
608,OH,O15,H77,3.2175683754763957,Na
609,OH,O15,H79,2.1074904298914996,Na
610,OH,O15,H87,2.1049795742694166,Na
611,OH,O15,H95,2.0911892314438143,Na
612,OH,O15,H101,3.3883080358120194,Na
613,OH,O15,H103,2.0762078297465916,Na
614,OH,O15,H111,2.089827389106377,Na
615,OH,O15,H127,2.9660791927055756,Na
616,OH,O15,H135,2.6157019981325966,Na
617,OH,O15,H143,3.4356273521269167,Na
618,OH,O16,H78,3.2175680260604707,Na
619,OH,O16,H80,2.107489728921567,Na
620,OH,O16,H88,2.104979513819827,Na
621,OH,O16,H96,2.091189231443753,Na
622,OH,O16,H102,3.3883080358119084,Na
623,OH,O16,H104,2.076207829746345,Na
624,OH,O16,H112,2.089827389106366,Na
625,OH,O16,H128,2.9660792313159066,Na
626,OH,O16,H136,2.6157016174095045,Na
627,OH,O16,H144,3.4356270433300375,Na
628,OH,O17,H108,2.826034206317404,Na
629,OH,O17,H127,3.168647305073799,Na
630,OH,O18,H107,2.8260336103262387,Na
631,OH,O18,H128,3.168647659685119,Na
632,OH,O19,H106,2.826033664702335,Na
633,OH,O19,H125,3.1686475191929024,Na
634,OH,O20,H105,2.8260341975605505,Na
635,OH,O20,H126,3.168647447539741,Na
636,OH,O21,H112,2.826033564707006,Na
637,OH,O21,H123,3.1686476648661657,Na
638,OH,O22,H111,2.826034197560525,Na
639,OH,O22,H124,3.168647447539811,Na
640,OH,O23,H110,2.826034197560551,Na
641,OH,O23,H121,3.1686474546945522,Na
642,OH,O24,H109,2.826033610326213,Na
643,OH,O24,H122,3.168647659685189,Na
644,OH,O25,H87,3.394338828876688,Na
645,OH,O25,H95,3.278663524852918,Na
646,OH,O25,H113,2.4131512283708285,Na
647,OH,O25,H126,3.0294063678567706,Na
648,OH,O25,H127,3.2697887676997146,Na
649,OH,O25,H134,3.379731513646784,Na
650,OH,O26,H88,3.3943378082728715,Na
651,OH,O26,H96,3.2786630361240525,Na
652,OH,O26,H114,2.413151468815034,Na
653,OH,O26,H125,3.0294059520944954,Na
654,OH,O26,H128,3.269788392219837,Na
655,OH,O26,H133,3.379731734876333,Na
656,OH,O27,H85,3.3943379962137983,Na
657,OH,O27,H93,3.278663134019845,Na
658,OH,O27,H115,2.41315126686867,Na
659,OH,O27,H125,3.2697888407036344,Na
660,OH,O27,H128,3.0294059423728563,Na
661,OH,O27,H136,3.3797315136468167,Na
662,OH,O28,H86,3.394338640935893,Na
663,OH,O28,H94,3.2786634269571424,Na
664,OH,O28,H116,2.4131514303173196,Na
665,OH,O28,H126,3.2697883192159094,Na
666,OH,O28,H127,3.029406377578479,Na
667,OH,O28,H135,3.379731734876332,Na
668,OH,O29,H83,3.394337996213821,Na
669,OH,O29,H91,3.278663134019868,Na
670,OH,O29,H117,2.4131512668686224,Na
671,OH,O29,H122,3.029405942372787,Na
672,OH,O29,H123,3.269788840703688,Na
673,OH,O29,H130,3.3797316017161374,Na
674,OH,O30,H84,3.394338640935894,Na
675,OH,O30,H92,3.2786634269571424,Na
676,OH,O30,H118,2.4131514303173196,Na
677,OH,O30,H121,3.029406377578479,Na
678,OH,O30,H124,3.26978831921591,Na
679,OH,O30,H129,3.379731646806983,Na
680,OH,O31,H81,3.3943388288766663,Na
681,OH,O31,H89,3.2786635248528957,Na
682,OH,O31,H119,2.4131512283708765,Na
683,OH,O31,H121,3.269788767699661,Na
684,OH,O31,H124,3.029406367856841,Na
685,OH,O31,H132,3.379731601716168,Na
686,OH,O32,H82,3.394337808272872,Na
687,OH,O32,H90,3.2786630361240525,Na
688,OH,O32,H120,2.413151468815034,Na
689,OH,O32,H122,3.2697883922198376,Na
690,OH,O32,H123,3.0294059520944954,Na
691,OH,O32,H131,3.3797316468069845,Na
692,FH,H89,F153,2.768858159825433,Na
693,FH,H90,F154,2.7688580200485946,Na
694,FH,H91,F155,2.768858159825433,Na
695,FH,H92,F156,2.7688580200485946,Na
696,FH,H93,F157,2.7688581598254327,Na
697,FH,H94,F158,2.7688581598254673,Na
698,FH,H95,F159,2.7688581598254327,Na
699,FH,H96,F160,2.7688581598254673,Na
700,FH,H97,F162,2.953181137283396,Na
701,FH,H98,F161,2.9531815039791933,Na
702,FH,H99,F164,2.9531814341233806,Na
703,FH,H100,F163,2.953181207139216,Na
704,FH,H101,F166,2.9531814341233824,Na
705,FH,H102,F165,2.953181137283396,Na
706,FH,H103,F168,2.9531811372833974,Na
707,FH,H104,F167,2.9531814341233815,Na
708,FH,H105,F164,2.622685556840253,Na
709,FH,H105,F169,2.9693800997818793,Na
710,FH,H106,F163,2.622685526542926,Na
711,FH,H106,F170,2.969379858163035,Na
712,FH,H107,F162,2.622685477770974,Na
713,FH,H107,F171,2.9693799305717845,Na
714,FH,H108,F161,2.6226856056122037,Na
715,FH,H108,F172,2.9693800273731648,Na
716,FH,H109,F168,2.6226854777709745,Na
717,FH,H109,F173,2.969379742799017,Na
718,FH,H110,F167,2.622685556840253,Na
719,FH,H110,F174,2.969380323856509,Na
720,FH,H111,F166,2.6226855568402536,Na
721,FH,H111,F175,2.9693799120091224,Na
722,FH,H112,F165,2.622685477770974,Na
723,FH,H112,F176,2.969380154646396,Na
724,FH,H113,F156,2.8020148213347524,Na
725,FH,H114,F155,2.8020148914466843,Na
726,FH,H115,F154,2.8020148164731116,Na
727,FH,H116,F153,2.8020148963083256,Na
728,FH,H117,F160,2.8020148914466843,Na
729,FH,H118,F159,2.802014896308325,Na
730,FH,H119,F158,2.802014896308325,Na
731,FH,H120,F157,2.802014891446685,Na
732,FH,H137,F169,2.7678155529320327,Na
733,FH,H138,F170,2.7678155392299018,Na
734,FH,H139,F171,2.7678155495211736,Na
735,FH,H140,F172,2.767815542640794,Na
736,FH,H141,F173,2.7678154395214074,Na
737,FH,H142,F174,2.767815542640795,Na
738,FH,H143,F175,2.7678154429322674,Na
739,FH,H144,F176,2.7678155392299018,Na
